Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
Azure Storage Actions,Microsoft.StorageActions,storageactions,Done,AlreadyTypeSpec,,,Done,specification/storageactions/StorageAction.Management/tspconfig.yaml,1/1/2023,sdk/resourcemanager/storageactions/armstorageactions,1/1/2023,,2219e4e4e0409bcb88a2b82e8febe1a3baecaf18,,,SwaggerCommit recomputed (was empty)
Bing Search APIs,Microsoft.Bing,bing,,NO_SPEC,,,NoSpec,,,,,,,,,
Reservations RP,Microsoft.BillingBenefits,billingbenefits,,Done,,,ManualReview,specification/billingbenefits/BillingBenefits.Management/tspconfig.yaml,2025-12-01-preview,sdk/resourcemanager/billingbenefits/armbillingbenefits,11/1/2022,https://github.com/Azure/azure-sdk-for-go/pull/26310,2b47198df3bc98a27d7be9891d4c4887392ff710,package-preview-2024-11-01-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-billingbenefits-armbillingbenefits-3.0.0-beta.1-1773913691/sdk/resourcemanager/billingbenefits/armbillingbenefits/CHANGELOG.md,Manual review: unclassified breaking changes not covered by migration accept list: RPClient.ValidatePurchase removed; SavingsPlanPurchaseValidateRequest removed.
Azure Device Provisioning Service,Microsoft.Devices,deviceprovisioningservices,Done,AlreadyTypeSpec,,,Done,specification/deviceprovisioningservices/resource-manager/Microsoft.Devices/DeviceProvisioningServices/tspconfig.yaml,2025-02-01-preview,sdk/resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices,2025-02-01-preview,,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure DNS Public Zones,Microsoft.Network,dns,,Premium,,,AlreadyTypeSpec,specification/dns/resource-manager/Microsoft.Network/Dns/tspconfig.yaml,2023-07-01-preview,sdk/resourcemanager/dns/armdns,2023-07-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26258,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Edge Hardware Center,Microsoft.EdgeOrder,edgeorder,Done,Done,,,Done,specification/edgeorder/resource-manager/Microsoft.EdgeOrder/EdgeOrder/tspconfig.yaml,2/1/2024,sdk/resourcemanager/edgeorder/armedgeorder,12/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26322,549e13fda6874099890b133b993217f8cd325946,package-2024-02,https://github.com/Azure/azure-sdk-for-go/blob/release-edgeorder-armedgeorder-2.0.0-1777521316/sdk/resourcemanager/edgeorder/armedgeorder/CHANGELOG.md,"All diff items are acceptable base/error struct removals (Resource, ProxyResource, TrackedResource, ErrorResponse, BasicInformation, CommonProperties)."
SRP,Microsoft.ElasticSan,elasticsan,Done,AlreadyTypeSpec,,,Done,specification/elasticsan/resource-manager/Microsoft.ElasticSan/ElasticSan/tspconfig.yaml,2024-07-01-preview,sdk/resourcemanager/elasticsan/armelasticsan,9/1/2025,,3db6867b8e524ea6d1bc7a3bbb989fe50dd2f184,,,SwaggerCommit recomputed (was empty)
Azure Automanage,Microsoft.GuestConfiguration,guestconfiguration,,Done,,,ManualReview,specification/guestconfiguration/resource-manager/Microsoft.GuestConfiguration/Assignments/tspconfig.yaml,4/5/2024,sdk/resourcemanager/guestconfiguration/armguestconfiguration,1/25/2022,https://github.com/Azure/azure-sdk-for-go/pull/26323,0e56f0e511c3a176e7156fe2ef7e52e27113010a,package-2024-04-05,https://github.com/Azure/azure-sdk-for-go/blob/release-guestconfiguration-armguestconfiguration-1.3.0-1777521407/sdk/resourcemanager/guestconfiguration/armguestconfiguration/CHANGELOG.md,Function parameter order changed for Assignments/AssignmentReports/HCRP* clients (resolvable via TypeSpec parameter order). Plus base struct removals (acceptable).
Azure Dedicated HSM,Microsoft.HardwareSecurityModules,hardwaresecuritymodules,Done,AlreadyTypeSpec,,,Done,specification/hardwaresecuritymodules/resource-manager/Microsoft.HardwareSecurityModules/HardwareSecurityModules/tspconfig.yaml,3/31/2025,sdk/resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules,3/31/2025,,f6f49d9fc5b62560791be47598ec00151c5ccbf6,,,SwaggerCommit recomputed (was empty)
Microsoft Diagnostics RP,Microsoft.Help,help,Done,Done,,,Done,specification/help/resource-manager/Microsoft.Help/Help/tspconfig.yaml,2024-03-01-preview,sdk/resourcemanager/selfhelp/armselfhelp,2024-03-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26269,67f3f22c59fff7046b0b69387eebdaa812a0b543,,,SwaggerCommit recomputed (was empty)
Kubernetes Connect Service,Microsoft.Kubernetes,hybridkubernetes,Done,Done,,,AlreadyTypeSpec,specification/hybridkubernetes/HybridKubernetes.Management/tspconfig.yaml,2024-12-01-preview,sdk/resourcemanager/hybridkubernetes/armhybridkubernetes,2024-12-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26265,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Planned Maintenance,Microsoft.Maintenance,maintenance,,Done,,,AlreadyTypeSpec,specification/maintenance/resource-manager/Microsoft.Maintenance/Maintenance/tspconfig.yaml,2023-10-01-preview,sdk/resourcemanager/maintenance/armmaintenance,2023-10-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26264,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Notification Hubs,Microsoft.NotificationHubs,notificationhubs,,Done,,,AlreadyTypeSpec,specification/notificationhubs/resource-manager/Microsoft.NotificationHubs/NotificationHubs/tspconfig.yaml,2023-10-01-preview,sdk/resourcemanager/notificationhubs/armnotificationhubs,2023-10-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26260,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure DNS Private Zones,Microsoft.Network,privatedns,,Premium,,,AlreadyTypeSpec,specification/privatedns/resource-manager/Microsoft.Network/PrivateDns/tspconfig.yaml,6/1/2024,sdk/resourcemanager/privatedns/armprivatedns,6/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26267,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Site Recovery,Microsoft.RecoveryServices,recoveryservices,,AlreadyTypeSpec,,,AlreadyTypeSpec,specification/recoveryservices/resource-manager/Microsoft.RecoveryServices/RecoveryServices/tspconfig.yaml,2/1/2025,sdk/resourcemanager/recoveryservices/armrecoveryservices,2/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26270,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
SQL IaaS,Microsoft.SqlVirtualMachine,sqlvirtualmachine,Done,Done,,,ManualReview,specification/sqlvirtualmachine/resource-manager/Microsoft.SqlVirtualMachine/SqlVirtualMachine/tspconfig.yaml,10/1/2023,sdk/resourcemanager/sqlvirtualmachine/armsqlvirtualmachine,2022-08-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26312,549e13fda6874099890b133b993217f8cd325946,package-2023-10,https://github.com/Azure/azure-sdk-for-go/blob/release-sqlvirtualmachine-armsqlvirtualmachine-1.0.0-1777521473/sdk/resourcemanager/sqlvirtualmachine/armsqlvirtualmachine/CHANGELOG.md,Type of `Operation.Properties` changed from `map[string]any` to `map[string]*OperationProperty` (richer TypeSpec typing; verify acceptable or use @@alternateType).
Liftr-Confluent,Microsoft.Confluent,confluent,,AlreadyTypeSpec,,,Done,specification/confluent/Confluent.Management/tspconfig.yaml,7/1/2024,sdk/resourcemanager/confluent/armconfluent,2025-08-18-preview,https://github.com/Azure/azure-sdk-for-go/pull/26429,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Bot Service,Microsoft.BotService,botservice,,Done,,,ManualReview,specification/botservice/resource-manager/Microsoft.BotService/BotService/tspconfig.yaml,2023-09-15-preview,sdk/resourcemanager/botservice/armbotservice,9/15/2022,https://github.com/Azure/azure-sdk-for-go/pull/26318,549e13fda6874099890b133b993217f8cd325946,package-preview-2023-09,https://github.com/Azure/azure-sdk-for-go/blob/release-botservice-armbotservice-2.0.0-beta.1-1773915194/sdk/resourcemanager/botservice/armbotservice/CHANGELOG.md,Type alias `EmailChannelAuthMethod` changed from float32 to int32 (resolvable via @@alternateType). Base struct removals are acceptable.
Fabric Platform MWC,Microsoft.PowerBIdedicated,powerbidedicated,Done,Done,,,AlreadyTypeSpec,specification/powerbidedicated/resource-manager/Microsoft.PowerBIdedicated/PowerBIDedicated/tspconfig.yaml,1/1/2021,sdk/resourcemanager/powerbidedicated/armpowerbidedicated,1/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26266,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Advisor,Microsoft.Advisor,advisor,,Done,,,ManualReview,specification/advisor/resource-manager/Microsoft.Advisor/Advisor/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/advisor/armadvisor,1/1/2020,https://github.com/Azure/azure-sdk-for-go/pull/26331,8ce8020456b3e303c7b7c480034e7971b4fedb88,package-2025-05-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-advisor-armadvisor-2.0.0-beta.1-1777521605/sdk/resourcemanager/advisor/armadvisor/CHANGELOG.md,Type of `RecommendationsClientGenerateResponse.RetryAfter` changed from `*string` to `*int32` (resolvable via @@alternateType).
